"create","{""position"":{""x"":0,""y"":0},""direction"":""north""}",
"create","{""position"":{""x"":-1,""y"":-1},""direction"":""south""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""north"",""instructions"":""R""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""east"",""instructions"":""R""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""south"",""instructions"":""R""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""west"",""instructions"":""R""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""north"",""instructions"":""L""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""west"",""instructions"":""L""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""south"",""instructions"":""L""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""east"",""instructions"":""L""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""north"",""instructions"":""A""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""south"",""instructions"":""A""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""east"",""instructions"":""A""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""west"",""instructions"":""A""}",
"move","{""position"":{""x"":7,""y"":3},""direction"":""north"",""instructions"":""RAALAL""}",
"move","{""position"":{""x"":0,""y"":0},""direction"":""north"",""instructions"":""LAAARALA""}",
"move","{""position"":{""x"":2,""y"":-7},""direction"":""east"",""instructions"":""RRAAAAALA""}",
"move","{""position"":{""x"":8,""y"":4},""direction"":""south"",""instructions"":""LAAARRRALLLL""}",
